N1108,DE,ALTERADO,PON,obs,PORTAS OCUPADAS,PORTAS TOTAL,ESTADO,MUNICIPIO,LOCALIDADE,TIPOLOCAL,LONGITUDE,LATITUDE,NOMECOMPLETO,STATUS,SISTEMADELOCAIS,DATADECRIACAO,DATADEATIVACAO,DATAPRIMEIROCLIENTE,DATASUBSTITUICAO,FINALIDADE,PROPRIEDADE,NUMEROLOTE,LOCALREFERENCIA,LOGRADOUROCCE,IDLOGRADOUROCCE,BAIRROCCE,IDBAIRROCCE,LOCALIDADECCE,MUNICIPIOCCE,ESTADOCCE,CEPCCE,CODLOGRADOUROGIS,LOGRADOUROGIS,FIDGTECH,NOMEGTECH,DESIGNACAODOFORNECEDOR,COMPRIMENTOMAXDROP,LOCALIDADECTO,STATUSCERTIFICACAO,PATRIMONIO,LOCALDEINSTALACAO
D0116,CTO-CMP-00036,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,186111","-22,649103",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00036,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,383,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0133,CTO-CMP-00037,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,182725","-22,645146",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00037,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,802,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0136,CTO-CMP-00038,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,182103","-22,644463",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00038,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,907,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0144,CTO-CMP-00039,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,180567","-22,642836",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00039,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1148,,RUA DOUTOR LUIZ NICOLAU NOLANDI,395910,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0149,CTO-CMP-00040,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,181829","-22,642459",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00040,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1222,,RUA CAETANO ACHILES AVANCINI,394841,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0151,CTO-CMP-00041,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,182256","-22,642898",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00041,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1135,,RUA CAETANO ACHILES AVANCINI,394841,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0154,CTO-CMP-00042,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18285","-22,643534",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00042,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1019,,RUA CAETANO ACHILES AVANCINI,394841,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0157,CTO-CMP-00043,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,183417","-22,644156",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00043,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,959,,RUA CAETANO ACHILES AVANCINI,394841,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0175,CTO-CMP-00044,,,ok,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D0186,CTO-CMP-00045,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,188917","-22,651016",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00045,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,36,,RUA CAETANO ACHILES AVANCINI,394841,JARDIM BELA VISTA CONTINUACAO,12688,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0193,CTO-CMP-00046,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189943","-22,650866",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00046,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,100,,RUA MARCELO LUGLI,395915,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0196,CTO-CMP-00047,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,18956","-22,65006",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00047,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,100,,RUA MARCELO LUGLI,395915,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0199,CTO-CMP-00048,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189087","-22,649174",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00048,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,1504,,RUA ANTONIO CARLOS NOGUEIRA,394560,CENTRO,12677,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0325,CTO-CMP-00049,D221,,ok,0,16,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,187879","-22,641031",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00049,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,192,,RUA 30 DE NOVEMBRO,396900,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0240,CTO-CMP-00050,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,189833","-22,648506",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00050,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,360,,RUA 30 DE NOVEMBRO,396900,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0243,CTO-CMP-00051,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190251","-22,649331",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00051,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,246,,RUA 30 DE NOVEMBRO,396900,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0246,CTO-CMP-00052,,,ok,0,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,190695","-22,650201",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00052,EXISTENTE,Algar Telecom,"44699,63058",,,,,FRANQUEADO,131,,RUA 30 DE NOVEMBRO,396900,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
D0249,CTO-CMP-00053,,,ok,1,8,SAO PAULO,COSMOPOLIS,COSMOPOLIS,CTO,"-47,191151","-22,651097",BR;SP;CMP;CMP;CMP-CENTRO;RR;CTO-CMP-00053,EXISTENTE,Algar Telecom,"44699,63058",,2/22/2023,,,FRANQUEADO,21,,RUA 30 DE NOVEMBRO,396900,VILA FONTANA,12739,COSMOPOLIS,COSMOPOLIS,SP,,,,,,,,BR;SP;CMP,,,
